73	74	74	69	86	73	72	90	71	66	85
73	92	65	73	70	69	60	74	90	74	87
74	89	72	74	74	74	74	80	83	73	74
74	87	61	64	68	71	63	77	74	59	85
71	84	61	70	72	73	67	70	89	71	78
74	75	70	68	72	79	69	74	68	75	72
80	60	74	84	78	73	69	82	63	83	73
71	83	73	70	73	77	72	72	79	72	73
63	89	68	80	64	70	71	90	90	68	67
74	83	71	71	69	71	70	81	79	73	70
72	70	67	81	74	67	64	74	77	74	81
74	74	74	87	73	86	74	74	87	73	74
70	90	73	70	83	84	81	90	71	70	71
70	68	60	91	67	77	71	73	94	67	68
77	60	64	69	60	78	63	63	76	64	67
74	73	78	70	70	83	74	79	74	74	70
71	68	75	70	72	73	72	68	84	90	73
